origin,passengers,enplanements,departures,arrivals,freight,mail,year
PSP,1433120,1421454,14646,14653,277749,3597,2024
GSP,1429407,1412374,18747,18572,34098478,37594,2024
SFB,1384838,1381808,9448,9444,8660,0,2024
ROC,1335318,1331446,16783,16860,33070822,0,2024
BZN,1323422,1321648,11813,11822,1660394,0,2024
COS,1275480,1244078,13859,13930,8263074,4697,2024
PIE,1229765,1227639,8336,8322,83946,0,2024
PWM,1222376,1221697,14285,14075,7300248,0,2024
HPN,1179247,1178953,16838,16820,3544,0,2024
LIT,1166990,1145632,15348,15348,10904175,749,2024
VPS,1165928,1164725,9976,9978,6271,0,2024
MSN,1161993,1154944,14527,14415,13159680,2728,2024
XNA,1127164,1123076,15601,15608,15310,0,2024
FAT,1107327,1104709,12726,12754,8707448,0,2024
AVL,1097490,1096081,12844,12860,3475,0,2024
GSO,994775,985423,16300,16152,76768989,3853291,2024
AZA,980722,977643,6598,6468,42548,0,2024
PGD,958157,957078,6261,6251,0,0,2024
ECP,925998,918302,9401,9422,2846,0,2024
ICT,909586,885566,12933,13073,19111588,2453,2024
EUG,825747,824632,9323,9321,1010446,40,2024
STT,816618,816576,18464,18773,160839,0,2024
HSV,814718,804260,13558,13565,25134721,30133,2024
MAF,780901,761708,11598,12151,2359769,234,2024
LEX,777884,776163,10136,10141,19684,0,2024
CID,763110,759829,9905,9912,38733782,600,2024
EYW,740793,740529,12576,12752,248653,0,2024
ILM,738455,736506,10280,10283,1339098,0,2024
MDT,734616,725000,10433,10206,56045931,1344,2024
FSD,704744,700851,10086,10046,39801574,0,2024
SGF,703480,702267,11246,11258,13188937,0,2024
SBA,699776,695993,8721,8788,949349,0,2024
ISP,686662,682533,5263,5284,149320,0,2024
ITO,680629,680629,8547,8674,14584696,1960186,2024
BTV,670466,670239,9519,9535,3011555,0,2024
CAE,662995,651388,11960,11944,37893412,15685,2024
MHT,634235,632987,9644,9678,82825324,5937541,2024
JAN,630611,616617,9207,9223,6964303,1505,2024
DAY,626653,624819,10405,10417,6970365,9,2024
RDM,601574,601149,8772,8945,832738,0,2024
MFE,601422,600610,6680,6700,7554563,0,2024
HVN,589266,589266,4349,4322,0,0,2024
FAI,573567,571336,17997,18002,13603845,4321729,2024
LBB,572831,563148,9898,9734,23364642,1316468,2024
CHA,564374,557545,8634,8630,11050320,2039,2024
FAR,554242,552342,9640,9357,32691327,17924,2024
HRL,541991,541129,7003,6938,22855334,0,2024
ATW,540760,540346,7647,7647,6287741,0,2024
JAC,518517,518517,5610,5611,641,0,2024
MSO,511964,511373,5922,5939,1900682,0,2024
FCA,503865,503753,5626,5627,2128480,0,2024
MFR,503591,503363,7439,7394,3093337,0,2024
ACY,499879,487781,3659,3649,803,0,2024
BIL,479100,475319,11185,11301,27843552,4191697,2024
PSC,478038,476639,7243,6416,1492972,0,2024
TLH,473651,469187,8518,8629,8074162,0,2024
SBN,456286,454755,7587,7601,8764092,0,2024
JNU,455924,366259,14762,14767,14610501,3441599,2024
PVU,455810,455039,3498,3492,3509,0,2024
ABE,451490,447699,6620,6488,123162330,0,2024
GPT,432601,423556,5324,5321,10665,17,2024
FWA,425328,424439,7428,7430,17625619,0,2024
RAP,423025,418123,5881,5894,1433160,414,2024
BTR,421285,419323,6669,6666,12645,4,2024
AMA,418354,402307,5980,5989,271451,1729,2024
TVC,393589,392998,5665,5695,38230,0,2024
CAK,382694,379989,4786,4777,52156,0,2024
ROA,382595,381985,7486,7506,10363092,0,2024
STS,382401,382401,5356,5356,1917,0,2024
CRP,378052,369371,5873,5828,50366,0,2024
BGR,373279,372036,5593,5553,3778464,205304,2024
SBP,366112,366112,5984,6154,388652,0,2024
BQN,360682,360511,2710,2948,16947222,0,2024
SHV,358096,352177,6864,6909,18436684,1334,2024
CHO,351646,350756,6729,6721,8151,0,2024
ASE,349522,349484,7560,7560,0,0,2024
PIA,343702,342550,4970,4974,10090791,25839,2024
DAB,339534,337663,3070,3073,2344,0,2024
GRB,338988,337321,5432,5424,219772,0,2024
MLI,327266,326491,5290,5299,115,0,2024
MOB,315302,314377,5312,5305,1725,0,2024
MRY,305247,305052,5248,5173,223818,0,2024
AGS,304133,298966,5068,5055,13270,0,2024
IDA,303275,301660,4697,4709,3023164,0,2024
BIS,297177,295900,4360,4511,284528,23325,2024
GNV,291194,290395,4358,4358,54489,0,2024
FNT,286011,285088,3670,3468,12182421,0,2024
EGE,282684,282684,3814,3815,25,0,2024
GJT,278936,270916,4950,4868,4973420,1566,2024
PAE,276093,275692,3389,3383,2329886,0,2024
BLI,266900,266486,3481,3601,862039,0,2024
MTJ,266377,264764,2889,2893,4089,0,2024
STX,265139,264871,12852,13147,128631,0,2024
LFT,264760,264454,5321,5312,9337101,0,2024
MLB,263625,260707,2891,2887,231705,0,2024
DRO,250702,250628,4334,4543,250882,0,2024
TTN,241887,241769,1774,1783,0,0,2024
KTN,236245,152072,6868,6912,5941815,5309252,2024
TRI,231077,229758,4277,4280,1900,131,2024
HDN,228008,226809,2868,2823,122946,0,2024
AVP,221233,219505,3289,3289,1242,0,2024
CRW,203066,202292,3649,3644,9120,0,2024
BFL,195456,195105,3205,3221,579362,0,2024
MGM,195394,193598,3407,3411,40121,0,2024
EVV,189644,189505,3479,3671,64426,0,2024
BRO,188149,187885,3379,3375,94612,0,2024
GTF,187171,186679,4813,4782,20966969,0,2024
SAF,180132,180127,3417,3426,0,0,2024
MOT,169470,169461,2783,2861,333256,0,2024
FAY,169165,168109,3111,3114,1052,0,2024
BET,168264,165662,41962,42028,6468451,17342204,2024
BMI,162259,161806,2903,2904,5033989,0,2024
SGU,161254,161127,3340,3288,307530,0,2024
LRD,153709,153338,5046,5227,25534423,448749,2024
BLV,153151,152389,1072,1072,0,0,2024
ACK,152003,152003,10927,11083,111803,150523,2024
OAJ,145314,144603,2763,2764,113,0,2024
LCK,143421,143034,2189,2184,46660914,0,2024
RFD,138744,131605,11078,11003,465421353,28350185,2024
DLH,137717,135730,2543,2531,618744,0,2024
GUM,137630,137623,1774,1866,8061384,2167912,2024
PSE,137553,137553,926,930,0,0,2024
SCE,134075,134040,3797,3752,1207682,0,2024
ACV,133676,133676,2413,2629,378894,0,2024
USA,132323,131923,938,937,0,0,2024
LNK,130817,129832,2733,2731,28993,0,2024
SIT,129886,98066,4203,4214,6011493,2262753,2024
AEX,129662,129227,2843,2829,166,0,2024
ILG,124919,124919,938,937,0,0,2024
SUN,120985,120985,2566,2590,132811,0,2024
LAN,115240,114961,2964,2980,19386279,2637206,2024
ORH,112838,112838,1364,1375,5902,0,2024
MBS,111139,110813,2242,2242,2048,0,2024
HHH,108490,108490,1840,1850,0,0,2024
MLU,105394,105263,2028,2028,1038,1,2024
COU,103150,103069,2143,2145,4991,0,2024
RST,101938,98436,2470,2657,7452215,41,2024
HLN,101599,101570,1969,1970,4175,0,2024
